data,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2002-06-30,13.8125,7.333333333333333,0.03125,0.125,0.125,2.425,0.16666666666666666,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.25,0.1875,0.25,0.125,0.1875,0.0
2002-07-31,21.5,21.875,34.03125,24.75,27.55,23.575,46.041666666666664,11.083333333333334,46.9375,50.6875,30.25,36.375,22.375,57.75,34.541666666666664,26.90625,13.875,6.8125,6.125,16.3
2002-08-31,10.78125,10.895833333333334,8.125,1.1875,3.8875,8.0875,4.0625,0.625,0.875,0.59375,0.46875,0.75,0.9166666666666666,1.0416666666666667,0.041666666666666664,0.125,0.0625,0.25,0.1875,25.4
2002-09-30,65.25,50.75,37.0,35.666666666666664,38.5,49.3,49.75,32.458333333333336,40.5,37.375,26.375,23.75,27.375,30.291666666666668,60.666666666666664,45.9375,56.3125,35.875,57.0,99.5
2002-10-31,98.5625,118.54166666666667,106.59375,87.375,93.05,86.25,79.0,97.91666666666667,85.8125,75.875,91.9375,90.5,90.70833333333333,95.41666666666667,75.54166666666667,74.40625,72.5,64.25,76.75,122.5
2002-11-30,150.375,152.41666666666666,175.5,213.66666666666666,180.9875,165.5,160.77083333333334,227.875,221.40625,244.28125,275.6875,249.75,244.27083333333334,202.02083333333334,266.8333333333333,273.734375,295.03125,273.53125,256.90625,276.8
2002-12-31,250.9375,278.25,287.09375,210.79166666666666,227.9,286.575,238.125,189.70833333333334,261.6875,231.1875,215.375,222.125,209.41666666666666,213.66666666666666,250.45833333333334,243.6875,306.125,238.375,265.5625,237.3
2003-01-31,267.75,291.75,295.78125,291.7083333333333,333.875,323.85,349.5416666666667,266.0416666666667,380.9375,345.25,339.25,308.375,317.25,369.0416666666667,334.4583333333333,342.5625,343.5625,295.3125,321.0625,449.0
2003-02-28,180.59375,189.77083333333334,195.8125,133.27083333333334,160.0875,170.3625,149.60416666666666,126.35416666666667,142.8125,125.96875,130.0,126.75,117.77083333333333,143.8125,168.29166666666666,132.296875,172.875,139.15625,154.8125,258.6
2003-03-31,399.5625,352.8333333333333,377.46875,318.4791666666667,362.8,368.2375,374.3125,305.1666666666667,343.15625,376.1875,364.78125,349.8125,332.4375,356.6875,399.25,406.828125,362.8125,383.25,363.375,256.2
2003-04-30,222.5,202.375,174.78125,84.29166666666667,116.275,165.025,128.75,81.25,90.75,90.25,88.375,88.125,88.79166666666667,91.04166666666667,101.20833333333333,92.46875,106.125,97.1875,107.5,212.7
2003-05-31,45.3125,17.958333333333332,16.25,33.791666666666664,30.45,16.925,31.25,20.166666666666668,21.1875,19.625,22.75,25.375,26.958333333333332,32.875,6.333333333333333,14.75,9.125,12.4375,13.375,62.1
2003-06-30,0.25,0.75,0.0,0.0,0.0,0.1,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
2003-07-31,0.1875,0.125,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-08-31,2.4375,1.8333333333333333,0.1875,0.5833333333333334,0.3,0.525,0.5416666666666666,0.16666666666666666,5.875,2.5,1.8125,0.0,2.8333333333333335,3.125,0.08333333333333333,0.21875,0.0625,0.1875,2.625,0.0
2003-09-30,143.75,150.25,119.53125,85.0,97.5,138.325,100.375,73.70833333333333,77.1875,88.8125,78.0,69.5,84.25,90.66666666666667,54.25,59.75,71.875,73.1875,99.4375,76.7
2003-10-31,172.0,95.70833333333333,96.3125,100.20833333333333,98.25,90.525,138.58333333333334,117.25,173.0,203.6875,155.875,141.75,133.0,143.875,150.25,168.375,142.1875,140.3125,139.4375,181.1
2003-11-30,163.84375,134.04166666666666,106.71875,117.3125,126.0,127.975,143.6875,165.66666666666666,129.90625,150.40625,125.375,121.1875,126.58333333333333,143.04166666666666,160.52083333333334,130.03125,150.0,119.625,129.3125,151.9
2003-12-31,233.9375,221.625,136.40625,146.41666666666666,152.85,178.4,169.83333333333334,169.45833333333334,159.1875,145.75,177.125,184.25,160.41666666666666,150.95833333333334,245.25,199.90625,217.0,167.9375,183.5,131.4
2004-01-31,497.25,429.6666666666667,526.3125,451.0,499.175,489.7,432.25,498.5416666666667,439.0,410.8125,418.0625,447.125,430.4583333333333,401.25,463.5833333333333,460.5625,412.3125,427.5625,424.0,413.9
2004-02-29,412.6875,474.3541666666667,468.6875,353.2291666666667,433.6375,456.6,438.375,310.5208333333333,390.40625,373.75,442.1875,395.4375,376.7083333333333,375.0,412.3541666666667,393.125,401.84375,396.96875,405.84375,505.1
2004-03-31,56.4375,58.416666666666664,55.9375,69.3125,74.7625,62.0875,93.5,57.125,134.125,123.4375,111.21875,92.25,84.0,108.04166666666667,152.41666666666666,108.5,140.625,170.125,151.71875,128.3
